tool	dataset	n_genomes	time_seconds	mem_bytes
bifrost	salmonella	128	29.8	256667648
bifrost	salmonella	256	63.95	374169600
bifrost	salmonella	512	156.79	627494912
bifrost	salmonella	1024	329.74	930140160
bifrost	salmonella	2048	772.9	1675894784
bifrost	salmonella	4096	1836.56	3283447808
bifrost	salmonella	8192	4408	6157631488
bifrost	salmonella	16384	12565	17519640576
bifrost	salmonella	32768	31263	37451812864
bifrost	salmonella	65536	76859	77164572672
bifrost	random	2	9.92	137940992
bifrost	random	4	9.2	191840256
bifrost	random	8	14.16	299110400
bifrost	random	16	28.92	473657344
bifrost	random	32	44.31	661929984
bifrost	random	64	72.52	1073090560
bifrost	random	128	126.09	1766092800
bifrost	random	256	204.84	2537799680
bifrost	random	512	392.42	4329095168
bifrost	random	1024	750.76	7280713728
bifrost	random	2048	1396.09	11612975104
bifrost	random	4096	2764.6	19831402496
bifrost	random	8192	5737	35702321152
bifrost	random	16384	12675	64728252416
metagraph_1gb_anno	salmonella	2	0.98	301395968
metagraph_1gb_anno	salmonella	4	2.41	406953984
metagraph_1gb_anno	salmonella	8	4.66	568958976
metagraph_1gb_anno	salmonella	16	9.22	835792896
metagraph_1gb_anno	salmonella	32	20.66	1597095936
metagraph_1gb_anno	salmonella	64	45.68	2475823104
metagraph_1gb_anno	salmonella	128	106.93	5168844800
metagraph_1gb_anno	salmonella	256	272.09000000000003	8966086656
metagraph_1gb_anno	salmonella	512	741.49	16475033600
metagraph_1gb_anno	salmonella	1024	2133.92	34248400896
metagraph_1gb_anno	salmonella	2048	5105	56818843648
metagraph_1gb_anno	random	2	1.11	432345088
metagraph_1gb_anno	random	4	1.74	565174272
metagraph_1gb_anno	random	8	3.88	946593792
metagraph_1gb_anno	random	16	8.87	1498869760
metagraph_1gb_anno	random	32	17.18	2312065024
metagraph_1gb_anno	random	64	35.41	3869597696
metagraph_1gb_anno	random	128	82.96000000000001	7038201856
metagraph_1gb_anno	random	256	189.09	12363976704
metagraph_1gb_anno	random	512	441.97	22884433920
metagraph_1gb_anno	random	1024	1057.66	42803896320
metagraph_1gb_anno	random	2048	2373.77	72475058176
